transaction_id,payment_date,customer_id,price,detail_id,item_id,quantity,item_name,item_price,customer_name,registration_date,email,gender,age,birth,pref
T0000000000,2024-08-02 06:41:56,BB######,0.0,,,0.0,,0.0,藤田 京助,2023-10-30 14:09:02,hyamada@yahoo.com,F,37,1969/03/14,兵庫県
T0000000001,2024-04-27 05:11:03,Km######,340000.0,542.0,S002,4.0,PC-B,85000.0,藤井 里佳,2023-08-12 21:45:15,csuzuki@gmail.com,F,40,1970/08/26,佐賀県
T0000000002,2025-02-22 17:42:24,hb######,50000.0,4001.0,S001,1.0,PC-A,50000.0,鈴木 直子,2024-10-13 06:59:43,fsato@suzuki.com,F,71,1953/09/09,大分県
T0000000003,2024-03-13 00:46:19,mS######,0.0,,,0.0,,0.0,中村 香織,2023-02-25 23:50:01,kenichi10@maeda.jp,M,51,2003/06/29,栃木県
T0000000004,2024-07-10 07:30:44,rH######,180000.0,1037.0,S004,1.0,PC-D,180000.0,渡辺 里佳,2024-12-15 17:56:59,gsuzuki@yahoo.com,M,73,1983/06/19,熊本県
T0000000005,2024-03-09 23:28:43,dz######,0.0,,,0.0,,0.0,太田 聡太郎,2023-04-22 17:28:08,mikako07@watanabe.com,M,23,1995/12/31,滋賀県
T0000000006,2024-10-31 06:19:02,BY######,0.0,,,0.0,,0.0,伊藤 春香,2024-01-04 00:27:41,csato@yahoo.com,M,46,1987/06/24,富山県
T0000000007,2024-09-17 09:47:19,Aj######,255000.0,5796.0,S002,3.0,PC-B,85000.0,高橋 淳,2022-08-25 11:29:31,nmiura@suzuki.jp,F,20,1997/03/08,佐賀県
T0000000008,2025-01-06 14:45:31,Ur######,0.0,,,0.0,,0.0,田中 拓真,2023-12-08 18:25:42,sasakikenichi@yahoo.com,M,43,1952/04/25,滋賀県
T0000000009,2024-07-26 00:47:07,yF######,100000.0,4156.0,S001,2.0,PC-A,50000.0,斎藤 晃,2023-03-12 00:33:52,nanami59@yahoo.com,F,50,2004/06/10,宮崎県
T0000000010,2025-02-27 13:20:26,PL######,540000.0,4307.0,S004,3.0,PC-D,180000.0,木村 七夏,2024-08-28 22:07:04,sayuri21@yahoo.com,M,32,1964/04/02,香川県
T0000000011,2025-02-18 05:26:24,VR######,120000.0,5886.0,S003,1.0,PC-C,120000.0,山崎 くみ子,2023-01-29 15:47:36,vgoto@takahashi.com,M,75,2006/03/18,佐賀県
T0000000011,2025-02-18 05:26:24,VR######,255000.0,6610.0,S002,3.0,PC-B,85000.0,山崎 くみ子,2023-01-29 15:47:36,vgoto@takahashi.com,M,75,2006/03/18,佐賀県
T0000000012,2025-01-11 23:36:01,se######,85000.0,2509.0,S002,1.0,PC-B,85000.0,渡辺 亮介,2022-05-01 15:56:07,tsasaki@hotmail.com,M,66,1988/03/16,秋田県
T0000000012,2025-01-11 23:36:01,se######,200000.0,4190.0,S001,4.0,PC-A,50000.0,渡辺 亮介,2022-05-01 15:56:07,tsasaki@hotmail.com,M,66,1988/03/16,秋田県
T0000000013,2024-08-07 10:28:50,Be######,240000.0,4257.0,S003,2.0,PC-C,120000.0,佐藤 京助,2022-10-02 04:03:30,kaori87@tanaka.jp,M,62,1991/06/22,香川県
T0000000014,2024-07-29 09:23:35,oi######,0.0,,,0.0,,0.0,岡田 春香,2024-05-13 13:27:07,itorei@gmail.com,F,47,1958/10/31,広島県
T0000000015,2024-11-05 19:56:27,xw######,0.0,,,0.0,,0.0,高橋 稔,2023-06-15 05:12:03,yuinakamura@endo.com,M,19,1948/09/26,滋賀県
T0000000016,2025-02-24 13:19:49,yW######,0.0,,,0.0,,0.0,中村 桃子,2024-04-25 20:09:03,yosuke88@hotmail.com,M,49,1960/09/30,香川県
T0000000017,2025-01-05 09:36:00,kY######,630000.0,5505.0,S005,3.0,PC-E,210000.0,中川 修平,2024-06-11 09:04:13,satoyui@gmail.com,M,19,1996/02/29,栃木県
T0000000018,2024-12-02 10:39:23,EI######,100000.0,892.0,S001,2.0,PC-A,50000.0,佐藤 英樹,2024-12-20 00:22:10,satotaro@gmail.com,F,57,1967/08/04,神奈川県
T0000000018,2024-12-02 10:39:23,EI######,210000.0,1277.0,S005,1.0,PC-E,210000.0,佐藤 英樹,2024-12-20 00:22:10,satotaro@gmail.com,F,57,1967/08/04,神奈川県
T0000000018,2024-12-02 10:39:23,EI######,180000.0,3997.0,S004,1.0,PC-D,180000.0,佐藤 英樹,2024-12-20 00:22:10,satotaro@gmail.com,F,57,1967/08/04,神奈川県
T0000000019,2024-09-23 00:22:20,ml######,0.0,,,0.0,,0.0,木村 くみ子,2023-12-27 09:56:04,yamaguchiryosuke@sasaki.com,F,60,1968/05/18,和歌山県
T0000000020,2024-04-09 11:34:47,hh######,720000.0,2755.0,S004,4.0,PC-D,180000.0,伊藤 翔太,2023-02-24 07:56:45,watanabekaori@yahoo.com,F,76,1963/05/07,京都府
T0000000021,2024-10-30 17:21:33,Oq######,360000.0,3076.0,S004,2.0,PC-D,180000.0,吉田 康弘,2022-03-17 07:52:37,qokada@takahashi.com,F,36,1951/07/17,熊本県
T0000000022,2024-09-04 14:18:04,rg######,240000.0,3520.0,S003,2.0,PC-C,120000.0,山田 千代,2023-01-01 02:46:26,tanakayuki@gmail.com,F,26,2004/01/09,長崎県
T0000000023,2024-08-28 03:31:27,ov######,120000.0,3626.0,S003,1.0,PC-C,120000.0,渡辺 幹,2022-08-25 10:59:34,satonaoko@ogawa.jp,F,64,1999/07/31,岐阜県
T0000000023,2024-08-28 03:31:27,ov######,720000.0,5391.0,S004,4.0,PC-D,180000.0,渡辺 幹,2022-08-25 10:59:34,satonaoko@ogawa.jp,F,64,1999/07/31,岐阜県
T0000000023,2024-08-28 03:31:27,ov######,210000.0,6627.0,S005,1.0,PC-E,210000.0,渡辺 幹,2022-08-25 10:59:34,satonaoko@ogawa.jp,F,64,1999/07/31,岐阜県
T0000000024,2024-08-13 15:53:35,xs######,170000.0,974.0,S002,2.0,PC-B,85000.0,青木 京助,2024-12-01 04:32:26,zyoshida@tanaka.jp,F,19,1993/07/12,福岡県
T0000000024,2024-08-13 15:53:35,xs######,180000.0,5543.0,S004,1.0,PC-D,180000.0,青木 京助,2024-12-01 04:32:26,zyoshida@tanaka.jp,F,19,1993/07/12,福岡県
T0000000025,2025-02-02 08:45:05,SM######,480000.0,5891.0,S003,4.0,PC-C,120000.0,後藤 さゆり,2023-09-21 03:09:33,morimituru@abe.com,M,47,2001/07/12,高知県
T0000000025,2025-02-02 08:45:05,SM######,720000.0,6941.0,S004,4.0,PC-D,180000.0,後藤 さゆり,2023-09-21 03:09:33,morimituru@abe.com,M,47,2001/07/12,高知県
T0000000026,2024-07-01 23:54:14,ah######,340000.0,569.0,S002,4.0,PC-B,85000.0,加藤 零,2023-09-19 23:47:31,tsubasa92@gmail.com,M,25,1987/08/20,佐賀県
T0000000026,2024-07-01 23:54:14,ah######,50000.0,6752.0,S001,1.0,PC-A,50000.0,加藤 零,2023-09-19 23:47:31,tsubasa92@gmail.com,M,25,1987/08/20,佐賀県
T0000000027,2024-06-23 16:57:29,xZ######,255000.0,12.0,S002,3.0,PC-B,85000.0,鈴木 陽子,2023-05-15 19:03:59,msakamoto@maeda.net,F,38,1960/08/21,佐賀県
T0000000028,2024-03-10 01:59:04,Ef######,630000.0,2400.0,S005,3.0,PC-E,210000.0,伊藤 花子,2025-02-23 19:09:36,naoto81@saito.com,F,74,1981/07/27,大分県
T0000000028,2024-03-10 01:59:04,Ef######,100000.0,3377.0,S001,2.0,PC-A,50000.0,伊藤 花子,2025-02-23 19:09:36,naoto81@saito.com,F,74,1981/07/27,大分県
T0000000029,2024-10-10 08:30:26,no######,210000.0,4381.0,S005,1.0,PC-E,210000.0,岡田 治,2024-10-04 01:10:18,unakamura@hotmail.com,M,62,1996/05/13,岩手県
T0000000030,2024-05-07 07:43:03,gI######,180000.0,2478.0,S004,1.0,PC-D,180000.0,渡辺 亮介,2024-07-06 15:19:08,akemi32@gmail.com,M,19,1953/09/02,福井県
T0000000031,2024-04-27 08:50:27,ET######,0.0,,,0.0,,0.0,西村 加奈,2022-11-19 17:27:05,tomoyaito@fujita.jp,M,77,1991/04/19,大分県
T0000000032,2024-12-14 03:42:18,ov######,100000.0,4126.0,S001,2.0,PC-A,50000.0,渡辺 幹,2022-08-25 10:59:34,satonaoko@ogawa.jp,F,64,1999/07/31,岐阜県
T0000000033,2024-09-25 09:47:16,LA######,0.0,,,0.0,,0.0,小林 涼平,2022-07-12 05:48:39,mikakoogawa@takahashi.com,M,27,1976/07/14,奈良県
T0000000034,2025-03-04 04:04:07,Vo######,340000.0,3347.0,S002,4.0,PC-B,85000.0,田中 充,2024-06-08 09:34:19,jsuzuki@hotmail.com,M,67,1982/07/09,岐阜県
T0000000035,2024-06-16 20:25:30,yb######,0.0,,,0.0,,0.0,青木 さゆり,2023-05-10 11:17:39,yumikosasaki@tanaka.jp,M,27,1984/09/20,茨城県
T0000000036,2025-01-09 13:45:30,lb######,630000.0,6312.0,S005,3.0,PC-E,210000.0,山田 桃子,2023-10-15 02:59:45,kaori83@yahoo.com,F,67,1982/03/05,山口県
T0000000037,2024-10-24 03:42:04,aR######,200000.0,4625.0,S001,4.0,PC-A,50000.0,伊藤 真綾,2024-02-15 09:51:49,gotorei@saito.org,F,51,1950/12/03,山梨県
T0000000038,2024-09-28 05:24:10,LV######,0.0,,,0.0,,0.0,井上 陽一,2022-11-09 20:49:41,esuzuki@tanaka.org,F,61,1980/09/16,栃木県
T0000000039,2025-01-27 17:11:11,wD######,540000.0,6369.0,S004,3.0,PC-D,180000.0,伊藤 亮介,2022-06-15 19:18:39,yumikoito@yahoo.com,F,33,1989/05/09,埼玉県
T0000000040,2024-10-27 20:06:52,Jr######,630000.0,5611.0,S005,3.0,PC-E,210000.0,井上 七夏,2024-10-16 15:50:27,satomi89@aoki.com,M,57,1973/09/23,山口県
T0000000041,2024-11-26 19:54:40,Ty######,0.0,,,0.0,,0.0,太田 春香,2022-06-21 01:34:16,haruka18@saito.jp,F,35,1958/10/17,長崎県
T0000000042,2024-11-04 07:06:49,mb######,170000.0,3871.0,S002,2.0,PC-B,85000.0,青木 太一,2024-07-18 17:48:04,shota34@gmail.com,F,49,1997/05/06,徳島県
T0000000042,2024-11-04 07:06:49,mb######,180000.0,4077.0,S004,1.0,PC-D,180000.0,青木 太一,2024-07-18 17:48:04,shota34@gmail.com,F,49,1997/05/06,徳島県
T0000000043,2024-07-06 20:56:16,mU######,840000.0,5506.0,S005,4.0,PC-E,210000.0,石井 陽子,2023-09-27 15:27:59,ryoheitakahashi@sasaki.jp,F,23,1987/10/11,群馬県
T0000000043,2024-07-06 20:56:16,mU######,420000.0,7016.0,S005,2.0,PC-E,210000.0,石井 陽子,2023-09-27 15:27:59,ryoheitakahashi@sasaki.jp,F,23,1987/10/11,群馬県
T0000000044,2024-05-06 00:43:00,Mf######,720000.0,69.0,S004,4.0,PC-D,180000.0,伊藤 健一,2024-11-02 03:20:38,mikinishimura@gmail.com,F,68,1965/10/15,大阪府
T0000000044,2024-05-06 00:43:00,Mf######,720000.0,1271.0,S004,4.0,PC-D,180000.0,伊藤 健一,2024-11-02 03:20:38,mikinishimura@gmail.com,F,68,1965/10/15,大阪府
T0000000045,2024-04-02 06:59:20,TH######,200000.0,4674.0,S001,4.0,PC-A,50000.0,伊藤 香織,2024-05-13 03:53:13,maayahayashi@sato.com,M,38,1966/09/07,福岡県
T0000000046,2024-08-16 02:03:20,FK######,0.0,,,0.0,,0.0,中村 春香,2024-10-24 00:16:26,yumikookamoto@yahoo.com,M,41,1958/09/15,静岡県
T0000000047,2024-10-10 09:50:40,FC######,0.0,,,0.0,,0.0,鈴木 陽子,2023-05-24 17:46:10,mikakosato@shimizu.com,F,60,1996/04/05,大阪府
T0000000048,2024-10-02 05:41:25,em######,480000.0,1707.0,S003,4.0,PC-C,120000.0,福田 春香,2024-07-22 16:01:16,thasegawa@gmail.com,M,69,1981/03/31,沖縄県
T0000000048,2024-10-02 05:41:25,em######,210000.0,1822.0,S005,1.0,PC-E,210000.0,福田 春香,2024-07-22 16:01:16,thasegawa@gmail.com,M,69,1981/03/31,沖縄県
T0000000049,2025-02-06 19:01:02,lZ######,0.0,,,0.0,,0.0,中村 浩,2023-06-22 06:13:28,qfukuda@hotmail.com,M,22,1968/03/10,新潟県
T0000000050,2024-06-26 13:55:04,KN######,0.0,,,0.0,,0.0,林 加奈,2022-12-08 09:54:00,tanakakana@hotmail.com,F,32,1994/05/20,佐賀県
T0000000051,2024-03-13 07:07:04,Qc######,480000.0,444.0,S003,4.0,PC-C,120000.0,遠藤 陽一,2023-09-24 22:37:36,nanamitakahashi@hotmail.com,F,33,1944/05/26,石川県
