customer_id,customer_name,registration_date,email,gender,age,birth,pref
Cg######,森 裕樹,2024-11-16 00:56:31,yoichisato@yahoo.com,M,71,2005/09/01,山口県
HP######,高橋 知実,2024-08-24 15:35:06,hidekitakahashi@ogawa.net,F,34,1986/09/15,山口県
ZO######,伊藤 充,2023-09-25 17:43:36,nakajimayui@sato.jp,M,26,1975/09/26,鳥取県
Jy######,遠藤 健一,2024-07-21 14:58:34,momoko78@ito.jp,M,50,1966/07/17,岐阜県
dO######,中島 あすか,2023-06-12 13:40:24,asukasuzuki@sato.jp,M,70,1985/11/07,福井県
bi######,山本 太一,2023-10-25 15:32:54,yamazakichiyo@matsuda.com,F,37,1967/07/21,沖縄県
ok######,石川 洋介,2024-09-23 19:58:44,kaoriyoshida@gmail.com,M,30,1945/02/13,佐賀県
mR######,高橋 千代,2024-11-06 23:04:11,yamadanaoko@maeda.com,M,45,1949/08/04,鹿児島県
DN######,橋本 知実,2024-04-15 20:51:14,tanakatakuma@fujii.com,M,65,1971/07/21,青森県
lD######,小林 洋介,2023-10-25 16:56:04,yutakato@yahoo.com,F,46,1966/03/24,埼玉県
tp######,山本 修平,2024-12-12 15:43:37,gotoshota@hotmail.com,M,30,1994/03/13,徳島県
pG######,青木 美加子,2022-06-17 00:31:19,wnakamura@shimizu.org,M,63,1987/07/22,茨城県
uh######,加藤 裕樹,2024-09-24 06:31:30,fujiishota@murakami.com,M,52,1982/05/23,徳島県
PD######,藤井 零,2024-05-28 16:04:26,ikedayui@sato.org,M,78,1986/10/25,岩手県
VV######,福田 舞,2024-09-10 17:18:37,dkobayashi@gmail.com,F,23,1976/12/18,福井県
CQ######,中村 くみ子,2023-03-19 13:32:30,mituruyamada@hayashi.net,M,35,1949/09/14,石川県
Ce######,近藤 淳,2022-10-13 02:15:19,itokazuya@gmail.com,F,68,1972/04/11,青森県
wz######,中島 七夏,2024-02-09 06:48:44,tsubasatanaka@sato.jp,F,22,1987/10/20,鳥取県
MK######,山口 和也,2023-06-08 09:35:44,yoichigoto@takahashi.jp,F,64,1955/09/01,茨城県
lv######,山田 真綾,2022-05-03 07:33:02,taroishikawa@gmail.com,M,42,1999/04/27,滋賀県
TP######,加藤 涼平,2022-11-09 14:10:51,kumiko62@yahoo.com,F,19,1957/05/17,京都府
nb######,山田 翔太,2023-09-07 16:25:24,gwatanabe@hotmail.com,M,27,1974/06/27,高知県
sV######,斉藤 さゆり,2024-12-17 14:13:45,haruka85@yamada.jp,F,73,1996/09/03,山梨県
nG######,佐藤 加奈,2022-12-18 02:42:01,mai87@ikeda.net,F,47,1944/05/09,京都府
wb######,高橋 零,2024-02-03 14:46:32,umori@takahashi.com,F,67,1968/07/14,和歌山県
Xe######,高橋 健一,2023-01-17 16:59:36,watanabetakuma@inoue.jp,F,76,1988/09/25,埼玉県
WK######,木村 里佳,2023-09-24 06:23:58,yoichiyamada@yahoo.com,F,62,1990/07/29,福島県
Rk######,山口 智也,2024-05-26 04:04:36,hideki38@okada.jp,F,22,2003/11/02,富山県
br######,清水 知実,2024-04-08 11:13:25,yoshidanaoto@nakagawa.org,F,72,1991/07/10,佐賀県
GK######,藤井 裕太,2022-03-16 11:01:36,sayuri86@hotmail.com,F,73,1958/02/07,青森県
IF######,渡辺 くみ子,2023-01-12 01:49:16,rika02@yahoo.com,M,50,1977/05/14,栃木県
GV######,藤井 智也,2024-02-03 07:41:57,hsuzuki@murakami.jp,M,71,1982/11/01,千葉県
kH######,西村 裕太,2024-10-22 04:44:14,hanako69@hotmail.com,F,18,1972/03/09,福島県
Pt######,橋本 知実,2025-02-26 13:29:37,akiraokada@aoki.org,F,35,1972/04/05,山形県
vp######,渡辺 翼,2024-11-02 22:34:06,yamamotorei@sato.jp,F,49,1998/08/29,奈良県
xf######,高橋 篤司,2023-03-14 08:07:17,iyamashita@ito.jp,M,64,1983/03/08,愛知県
MF######,鈴木 七夏,2023-08-31 06:14:30,emori@yahoo.com,F,66,1999/09/21,京都府
zM######,伊藤 里佳,2023-04-05 11:03:54,tsubasa02@goto.com,M,28,2004/09/12,佐賀県
TH######,伊藤 香織,2024-05-13 03:53:13,maayahayashi@sato.com,M,38,1966/09/07,福岡県
ot######,高橋 治,2023-08-16 06:29:46,ryoheiyamamoto@gmail.com,M,43,1972/06/27,静岡県
zj######,小林 聡太郎,2022-05-31 11:46:18,kenichisato@yahoo.com,M,42,1983/04/12,長野県
HN######,山崎 香織,2025-02-21 09:44:05,gishikawa@gmail.com,M,39,2005/04/06,兵庫県
Ss######,後藤 結衣,2024-09-30 08:03:26,kana69@yamashita.net,F,76,1985/07/28,神奈川県
