detail_id,transaction_id,item_id,quantity,price,payment_date,customer_id,customer_name,registration_date,email,gender,age,birth,pref,item_name,item_price,calculated_price,payment_month
0,T0000002580,S004,1,180000,2024-06-18 04:14:30,gC######,坂本 充,2023-04-17 23:02:59,nanami60@yoshida.jp,F,31,1996/07/21,新潟県,PC-D,180000,180000,202406
1,T0000004391,S004,4,720000,2024-04-28 05:24:36,VX######,鈴木 七夏,2024-08-13 22:54:08,knishimura@gmail.com,M,48,1957/01/10,神奈川県,PC-D,180000,720000,202404
2,T0000002159,S002,2,170000,2024-03-15 05:32:47,gu######,中島 裕美子,2022-11-16 06:46:09,yuiyoshida@hotmail.com,M,54,1952/08/11,秋田県,PC-B,85000,170000,202403
3,T0000005708,S004,4,720000,2024-05-31 03:11:05,LN######,小林 花子,2022-07-07 13:18:41,akemiabe@ikeda.org,M,45,1990/03/21,京都府,PC-D,180000,720000,202405
4,T0000003248,S002,3,255000,2024-05-22 15:42:01,Rq######,小林 幹,2025-01-18 08:07:22,tanakahideki@goto.com,M,53,1962/08/06,広島県,PC-B,85000,255000,202405
5,T0000006486,S001,1,50000,2024-03-25 01:39:12,GM######,石川 結衣,2023-03-12 05:34:29,yuinakajima@ogawa.com,M,45,1950/08/13,奈良県,PC-A,50000,50000,202403
6,T0000003731,S002,4,340000,2024-03-20 12:58:59,mi######,田中 陽一,2022-11-06 23:38:17,minoru09@gmail.com,F,66,1975/11/06,三重県,PC-B,85000,340000,202403
7,T0000006244,S005,1,210000,2024-10-20 15:25:40,jJ######,斎藤 治,2022-07-29 04:37:21,qsasaki@yahoo.com,F,48,1953/09/11,福井県,PC-E,210000,210000,202410
8,T0000003829,S005,4,840000,2025-01-01 04:05:35,hG######,高橋 加奈,2022-12-26 00:07:53,naokosaito@gmail.com,F,19,2006/02/18,山形県,PC-E,210000,840000,202501
9,T0000006772,S003,1,120000,2025-02-09 07:55:28,Rj######,小林 春香,2022-12-01 06:11:18,zito@yamamoto.jp,M,58,1958/11/08,静岡県,PC-C,120000,120000,202502
10,T0000001627,S004,3,540000,2024-10-25 11:55:42,iT######,鈴木 健一,2022-06-30 16:58:16,mai88@yahoo.com,F,53,1958/09/13,鹿児島県,PC-D,180000,540000,202410
11,T0000003472,S004,1,180000,2024-06-28 09:23:37,gM######,山口 淳,2024-11-07 02:16:06,yamadanaoto@kimura.jp,M,50,1960/12/18,山口県,PC-D,180000,180000,202406
12,T0000000027,S002,3,255000,2024-06-23 16:57:29,xZ######,鈴木 陽子,2023-05-15 19:03:59,msakamoto@maeda.net,F,38,1960/08/21,佐賀県,PC-B,85000,255000,202406
13,T0000001985,S004,3,540000,2024-04-15 01:41:46,Sm######,佐々木 治,2023-03-13 08:53:57,otahiroshi@matsumoto.com,M,72,1952/12/23,新潟県,PC-D,180000,540000,202404
14,T0000005656,S005,4,840000,2024-12-10 04:37:33,Mn######,岡本 直人,2022-09-27 20:48:46,takuma30@okada.com,M,60,1959/05/30,福島県,PC-E,210000,840000,202412
15,T0000004153,S001,4,200000,2024-06-18 14:44:46,Cp######,坂本 花子,2022-05-27 07:32:03,momokosakamoto@hotmail.com,F,74,1955/01/18,三重県,PC-A,50000,200000,202406
16,T0000001521,S002,4,340000,2024-07-22 06:32:33,qR######,前田 修平,2023-04-16 08:27:10,ktakahashi@yahoo.com,M,28,1979/11/26,愛知県,PC-B,85000,340000,202407
17,T0000000296,S004,3,540000,2024-06-09 03:21:57,qq######,斉藤 直人,2024-10-28 19:22:22,ksuzuki@yahoo.com,F,51,1965/03/03,岩手県,PC-D,180000,540000,202406
18,T0000002181,S005,2,420000,2024-08-12 04:21:20,yI######,田中 直樹,2023-07-28 14:31:03,tsubasa17@hotmail.com,M,43,1969/02/27,京都府,PC-E,210000,420000,202408
19,T0000003402,S003,2,240000,2025-02-04 05:17:25,TQ######,近藤 直子,2023-04-21 00:58:37,matsumotoyosuke@ikeda.jp,M,57,1981/09/28,山口県,PC-C,120000,240000,202502
20,T0000002296,S004,3,540000,2024-10-14 09:14:23,qo######,伊藤 晃,2023-03-11 09:15:25,yamaguchihideki@inoue.jp,M,37,1975/12/25,長崎県,PC-D,180000,540000,202410
21,T0000002597,S001,3,150000,2024-08-25 04:41:49,aY######,山田 香織,2023-02-28 10:20:39,sayuriishikawa@ishii.jp,F,68,1983/12/29,群馬県,PC-A,50000,150000,202408
22,T0000000901,S001,4,200000,2024-10-14 20:44:07,ZW######,田中 充,2023-12-27 02:11:48,kenichisasaki@hotmail.com,M,62,1960/10/30,京都府,PC-A,50000,200000,202410
23,T0000006060,S004,4,720000,2024-11-17 21:55:43,yp######,吉田 智也,2024-05-20 16:06:43,kyosukewatanabe@yahoo.com,F,60,2002/03/24,山梨県,PC-D,180000,720000,202411
24,T0000001098,S004,4,720000,2024-04-11 00:49:26,ie######,林 修平,2024-10-23 17:02:33,kumikotanaka@takahashi.org,F,64,1969/03/09,山形県,PC-D,180000,720000,202404
25,T0000001677,S005,2,420000,2024-03-26 00:25:44,tb######,伊藤 あすか,2024-06-03 18:27:37,yasuhiroishii@yahoo.com,F,18,1996/11/16,宮城県,PC-E,210000,420000,202403
26,T0000002881,S004,2,360000,2024-08-02 05:50:54,sq######,山本 直樹,2023-09-19 06:26:50,wyamamoto@goto.net,M,25,1985/03/19,香川県,PC-D,180000,360000,202408
27,T0000005287,S003,3,360000,2024-06-07 19:08:08,Ej######,松田 翼,2023-04-04 16:02:47,mikakoyamamoto@tanaka.jp,F,63,1998/05/09,三重県,PC-C,120000,360000,202406
28,T0000004866,S005,2,420000,2024-09-27 06:38:49,nB######,佐藤 裕太,2023-10-29 12:51:50,xishikawa@nakamura.org,F,72,1950/09/07,大分県,PC-E,210000,420000,202409
29,T0000005622,S002,4,340000,2024-06-11 10:45:45,kR######,山口 真綾,2022-04-14 00:19:29,ikedachiyo@yamazaki.jp,M,34,2006/02/15,長崎県,PC-B,85000,340000,202406
30,T0000001378,S003,4,480000,2025-02-23 07:55:14,AB######,小林 京助,2023-09-14 08:30:32,kimurashohei@yahoo.com,M,55,1999/12/08,大分県,PC-C,120000,480000,202502
31,T0000001248,S005,4,840000,2024-07-17 04:46:21,Zf######,中川 充,2022-03-31 19:04:26,nakajimaryosuke@sato.com,M,63,1970/05/02,長野県,PC-E,210000,840000,202407
32,T0000003735,S005,4,840000,2025-01-20 05:20:14,qQ######,佐藤 明美,2022-11-04 21:50:28,lgoto@ito.jp,F,64,1988/03/15,三重県,PC-E,210000,840000,202501
33,T0000005650,S001,4,200000,2024-11-20 09:42:46,Zf######,中川 充,2022-03-31 19:04:26,nakajimaryosuke@sato.com,M,63,1970/05/02,長野県,PC-A,50000,200000,202411
34,T0000004241,S005,1,210000,2025-03-04 03:26:29,iT######,鈴木 健一,2022-06-30 16:58:16,mai88@yahoo.com,F,53,1958/09/13,鹿児島県,PC-E,210000,210000,202503
35,T0000006079,S003,3,360000,2024-06-21 07:05:39,ds######,高橋 香織,2024-11-21 19:52:46,ymatsumoto@hotmail.com,F,64,1953/06/30,鳥取県,PC-C,120000,360000,202406
36,T0000001264,S004,3,540000,2024-09-18 20:25:19,Bt######,高橋 陽子,2024-08-21 06:25:04,shota58@suzuki.org,M,41,1953/05/19,山梨県,PC-D,180000,540000,202409
37,T0000001907,S003,2,240000,2024-07-30 05:45:24,SD######,吉田 涼平,2023-08-06 04:33:16,mituru68@yahoo.com,F,42,1981/05/31,山梨県,PC-C,120000,240000,202407
38,T0000006487,S002,4,340000,2024-09-10 10:10:36,zE######,坂本 陽一,2022-10-10 11:54:12,tanakayui@fujiwara.jp,F,67,1991/07/26,沖縄県,PC-B,85000,340000,202409
39,T0000005868,S005,1,210000,2024-11-22 18:37:41,DN######,橋本 知実,2024-04-15 20:51:14,tanakatakuma@fujii.com,M,65,1971/07/21,青森県,PC-E,210000,210000,202411
40,T0000001058,S005,4,840000,2024-10-05 02:50:15,ZD######,高橋 真綾,2024-01-05 14:07:50,tomoyainoue@gmail.com,F,58,1960/04/05,鹿児島県,PC-E,210000,840000,202410
41,T0000002749,S005,4,840000,2024-08-30 16:21:02,bX######,太田 春香,2024-07-10 00:14:13,nanamishimizu@yahoo.com,M,42,2004/02/07,岐阜県,PC-E,210000,840000,202408
42,T0000002048,S005,2,420000,2024-10-29 21:07:25,AR######,松田 翼,2024-06-27 06:06:38,yamaguchitaichi@hotmail.com,F,25,1989/01/30,福島県,PC-E,210000,420000,202410
43,T0000006115,S001,1,50000,2024-09-14 21:52:27,Wh######,中島 さゆり,2022-11-09 02:22:10,sasakisotaro@gmail.com,M,43,1961/12/03,茨城県,PC-A,50000,50000,202409
44,T0000004248,S001,1,50000,2024-06-12 20:25:50,XT######,井上 直樹,2024-04-10 22:16:52,kana72@kato.jp,M,25,1966/07/27,高知県,PC-A,50000,50000,202406
45,T0000002476,S004,3,540000,2024-07-11 16:44:52,pM######,佐々木 七夏,2023-05-30 04:41:50,hiroshiishii@aoki.jp,M,68,1961/04/07,群馬県,PC-D,180000,540000,202407
46,T0000004016,S005,4,840000,2024-05-08 21:43:22,VK######,林 充,2022-04-22 20:46:31,manabuokada@hotmail.com,F,72,1985/08/06,沖縄県,PC-E,210000,840000,202405
47,T0000004603,S002,1,85000,2024-06-30 11:35:11,GC######,高橋 桃子,2024-06-26 01:09:00,endomikako@hotmail.com,F,57,1956/01/17,奈良県,PC-B,85000,85000,202406
48,T0000003197,S004,3,540000,2025-01-11 05:10:40,CS######,田中 浩,2023-02-01 18:50:58,akiraishikawa@nakamura.com,M,68,1945/08/24,愛媛県,PC-D,180000,540000,202501
49,T0000004586,S005,1,210000,2024-06-19 13:00:17,qH######,吉田 くみ子,2022-06-25 21:51:24,yuta89@gmail.com,M,49,1944/10/31,宮崎県,PC-E,210000,210000,202406
50,T0000003553,S001,4,200000,2024-07-01 14:56:37,Fk######,山崎 直人,2023-01-24 10:18:38,yyamada@yahoo.com,F,49,1945/10/26,長野県,PC-A,50000,200000,202407
51,T0000004440,S002,3,255000,2024-08-15 08:29:55,Qw######,佐藤 里佳,2023-08-11 13:03:26,ishiiyosuke@fujita.net,F,62,2006/01/09,群馬県,PC-B,85000,255000,202408
52,T0000006031,S004,1,180000,2024-10-25 17:30:53,CD######,岡本 涼平,2023-06-23 23:45:20,csaito@hayashi.com,M,22,1946/01/24,高知県,PC-D,180000,180000,202410
53,T0000001761,S002,2,170000,2024-03-25 04:59:53,Pf######,佐藤 陽子,2023-09-02 05:30:39,utanaka@hotmail.com,M,34,1989/01/31,奈良県,PC-B,85000,170000,202403
54,T0000000220,S005,1,210000,2024-04-12 11:52:59,in######,池田 拓真,2024-02-17 10:11:52,takahashikaori@gmail.com,F,68,1962/04/21,東京都,PC-E,210000,210000,202404
55,T0000006034,S003,4,480000,2024-08-16 11:54:09,HU######,小川 春香,2023-04-24 17:45:59,ftakahashi@maeda.com,M,64,1947/12/20,岩手県,PC-C,120000,480000,202408
56,T0000006038,S002,2,170000,2024-11-27 12:38:44,lN######,高橋 直樹,2022-04-20 04:39:11,kyosukesuzuki@aoki.jp,M,51,1952/10/05,茨城県,PC-B,85000,170000,202411
57,T0000004818,S002,1,85000,2024-12-17 11:59:45,cq######,山本 七夏,2024-04-21 00:34:32,kanaito@yahoo.com,F,66,1983/02/01,栃木県,PC-B,85000,85000,202412
58,T0000004623,S001,1,50000,2024-08-05 00:36:02,ae######,鈴木 春香,2023-11-03 13:50:33,mikiyamaguchi@matsuda.com,F,18,1976/03/05,静岡県,PC-A,50000,50000,202408
59,T0000005618,S005,3,630000,2024-05-11 14:38:52,Ld######,山本 篤司,2025-03-01 07:16:50,kaori93@goto.net,F,71,1985/11/23,鳥取県,PC-E,210000,630000,202405
60,T0000002888,S002,4,340000,2024-06-09 07:14:58,rt######,山田 裕美子,2024-03-19 11:00:37,qsasaki@gmail.com,F,56,1958/10/22,島根県,PC-B,85000,340000,202406
61,T0000001664,S005,1,210000,2024-11-11 14:47:28,Tj######,小林 拓真,2024-08-04 03:51:52,inoueakemi@gmail.com,F,37,1950/07/02,群馬県,PC-E,210000,210000,202411
